,trip_id,Unnamed: 0,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
725,11240070,4933,183474007,61A,OUTBOUND-NORTH BRADDOCK,22:45:00,3,FIFTH AVE + WOOD ST,20856,23:35:00,84,12.47692843,3,BRADDOCK AVE + 6TH ST,20938,1/1/2023 22:45,1/1/2023 23:35,0 days 00:50:00,50.0,0.833333333
750,11855070,4962,183475307,61C,INBOUND-PITTSBURGH VIA OAKLAND,9:20:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,10:37:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 9:20,1/1/2023 10:37,0 days 01:17:00,77.0,1.283333333
751,8326070,4963,183475307,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,10:37:00,3,FIFTH AVE + WOOD ST,20856,11:36:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 10:37,1/1/2023 11:36,0 days 00:59:00,59.0,0.983333333
752,11153070,4964,183475307,61C,INBOUND-PITTSBURGH VIA OAKLAND,11:48:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,13:05:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 11:48,1/1/2023 13:05,0 days 01:17:00,77.0,1.283333333
753,113070,4965,183475307,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,13:05:00,3,FIFTH AVE + WOOD ST,20856,14:07:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 13:05,1/1/2023 14:07,0 days 01:02:00,62.0,1.033333333
754,5307070,4966,183475407,61C,INBOUND-PITTSBURGH VIA OAKLAND,8:20:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,9:37:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 8:20,1/1/2023 9:37,0 days 01:17:00,77.0,1.283333333
755,6115070,4967,183475407,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,9:37:00,3,FIFTH AVE + WOOD ST,20856,10:36:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 9:37,1/1/2023 10:36,0 days 00:59:00,59.0,0.983333333
756,11489070,4968,183475407,61C,INBOUND-PITTSBURGH VIA OAKLAND,10:48:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,12:05:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 10:48,1/1/2023 12:05,0 days 01:17:00,77.0,1.283333333
757,7223070,4969,183475407,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,12:05:00,3,FIFTH AVE + WOOD ST,20856,13:07:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 12:05,1/1/2023 13:07,0 days 01:02:00,62.0,1.033333333
758,13296070,4970,183475507,61C,INBOUND-PITTSBURGH VIA OAKLAND,7:35:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,8:37:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 7:35,1/1/2023 8:37,0 days 01:02:00,62.0,1.033333333
759,6957070,4971,183475507,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,8:37:00,3,FIFTH AVE + WOOD ST,20856,9:28:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 8:37,1/1/2023 9:28,0 days 00:51:00,51.0,0.85
760,3205070,4972,183475507,61C,INBOUND-PITTSBURGH VIA OAKLAND,9:50:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,11:07:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 9:50,1/1/2023 11:07,0 days 01:17:00,77.0,1.283333333
761,11050070,4973,183475507,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,11:07:00,3,FIFTH AVE + WOOD ST,20856,12:09:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 11:07,1/1/2023 12:09,0 days 01:02:00,62.0,1.033333333
762,87070,4974,183475607,61C,INBOUND-PITTSBURGH VIA OAKLAND,14:31:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,15:45:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 14:31,1/1/2023 15:45,0 days 01:14:00,74.0,1.233333333
763,9955070,4975,183475607,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,15:45:00,3,FIFTH AVE + WOOD ST,20856,16:47:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 15:45,1/1/2023 16:47,0 days 01:02:00,62.0,1.033333333
764,7307070,4976,183475607,61C,INBOUND-PITTSBURGH VIA OAKLAND,17:12:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,18:25:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 17:12,1/1/2023 18:25,0 days 01:13:00,73.0,1.216666667
765,4248070,4977,183475607,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,18:25:00,3,FIFTH AVE + WOOD ST,20856,19:23:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 18:25,1/1/2023 19:23,0 days 00:58:00,58.0,0.966666667
766,12988070,4978,183475707,61C,INBOUND-PITTSBURGH VIA OAKLAND,6:35:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,7:37:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 6:35,1/1/2023 7:37,0 days 01:02:00,62.0,1.033333333
767,6353070,4979,183475707,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,7:37:00,3,FIFTH AVE + WOOD ST,20856,8:28:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 7:37,1/1/2023 8:28,0 days 00:51:00,51.0,0.85
768,13906070,4980,183475707,61C,INBOUND-PITTSBURGH VIA OAKLAND,8:50:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,10:07:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 8:50,1/1/2023 10:07,0 days 01:17:00,77.0,1.283333333
769,5861070,4981,183475707,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,10:07:00,3,FIFTH AVE + WOOD ST,20856,11:06:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 10:07,1/1/2023 11:06,0 days 00:59:00,59.0,0.983333333
778,4229070,4990,183476207,61C,INBOUND-PITTSBURGH VIA OAKLAND,7:50:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,9:07:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 7:50,1/1/2023 9:07,0 days 01:17:00,77.0,1.283333333
779,13761070,4991,183476207,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,9:07:00,3,FIFTH AVE + WOOD ST,20856,10:06:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 9:07,1/1/2023 10:06,0 days 00:59:00,59.0,0.983333333
780,3251070,4992,183476207,61C,INBOUND-PITTSBURGH VIA OAKLAND,10:20:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,11:37:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 10:20,1/1/2023 11:37,0 days 01:17:00,77.0,1.283333333
781,13695070,4993,183476207,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,11:37:00,3,FIFTH AVE + WOOD ST,20856,12:39:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 11:37,1/1/2023 12:39,0 days 01:02:00,62.0,1.033333333
786,2544070,5002,183476607,61C,INBOUND-PITTSBURGH VIA OAKLAND,16:52:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,18:05:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 16:52,1/1/2023 18:05,0 days 01:13:00,73.0,1.216666667
787,13820070,5003,183476607,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,18:05:00,3,FIFTH AVE + WOOD ST,20856,19:03:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 18:05,1/1/2023 19:03,0 days 00:58:00,58.0,0.966666667
788,10531070,5004,183476607,61C,INBOUND-PITTSBURGH VIA OAKLAND,19:32:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,20:37:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 19:32,1/1/2023 20:37,0 days 01:05:00,65.0,1.083333333
789,7885070,5005,183476607,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,20:37:00,3,FIFTH AVE + WOOD ST,20856,21:33:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 20:37,1/1/2023 21:33,0 days 00:56:00,56.0,0.933333333
790,5196070,5006,183476707,61C,INBOUND-PITTSBURGH VIA OAKLAND,20:32:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,21:37:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 20:32,1/1/2023 21:37,0 days 01:05:00,65.0,1.083333333
791,4330070,5007,183476707,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,21:37:00,3,FIFTH AVE + WOOD ST,20856,22:33:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 21:37,1/1/2023 22:33,0 days 00:56:00,56.0,0.933333333
792,8320070,5008,183476707,61C,INBOUND-PITTSBURGH VIA OAKLAND,22:45:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,23:37:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 22:45,1/1/2023 23:37,0 days 00:52:00,52.0,0.866666667
793,13996070,5009,183476707,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,23:37:00,3,FIFTH AVE + WOOD ST,20856,24:28:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 23:37,1/2/2023 0:28,0 days 00:51:00,51.0,0.85
794,11573070,5010,183476807,61C,INBOUND-PITTSBURGH VIA OAKLAND,14:51:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,16:05:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 14:51,1/1/2023 16:05,0 days 01:14:00,74.0,1.233333333
795,6945070,5011,183476807,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,16:05:00,3,FIFTH AVE + WOOD ST,20856,17:07:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 16:05,1/1/2023 17:07,0 days 01:02:00,62.0,1.033333333
796,810070,5012,183476807,61C,INBOUND-PITTSBURGH VIA OAKLAND,17:32:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,18:45:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 17:32,1/1/2023 18:45,0 days 01:13:00,73.0,1.216666667
797,7895070,5013,183476807,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,18:45:00,3,FIFTH AVE + WOOD ST,20856,19:43:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 18:45,1/1/2023 19:43,0 days 00:58:00,58.0,0.966666667
798,7609070,5014,183476907,61C,INBOUND-PITTSBURGH VIA OAKLAND,20:02:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,21:07:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 20:02,1/1/2023 21:07,0 days 01:05:00,65.0,1.083333333
799,2899070,5015,183476907,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,21:07:00,3,FIFTH AVE + WOOD ST,20856,22:03:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 21:07,1/1/2023 22:03,0 days 00:56:00,56.0,0.933333333
800,6869070,5016,183476907,61C,INBOUND-PITTSBURGH VIA OAKLAND,22:15:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,23:07:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 22:15,1/1/2023 23:07,0 days 00:52:00,52.0,0.866666667
801,8555070,5017,183476907,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,23:07:00,3,FIFTH AVE + WOOD ST,20856,23:58:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 23:07,1/1/2023 23:58,0 days 00:51:00,51.0,0.85
804,3094070,5020,183477107,61C,INBOUND-PITTSBURGH VIA OAKLAND,21:45:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,22:37:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 21:45,1/1/2023 22:37,0 days 00:52:00,52.0,0.866666667
805,2857070,5021,183477107,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,22:37:00,3,FIFTH AVE + WOOD ST,20856,23:33:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 22:37,1/1/2023 23:33,0 days 00:56:00,56.0,0.933333333
806,958070,5022,183477107,61C,INBOUND-PITTSBURGH VIA OAKLAND,23:48:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,24:40:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 23:48,1/2/2023 0:40,0 days 00:52:00,52.0,0.866666667
807,12391070,5023,183477107,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,24:40:00,3,FIFTH AVE + WOOD ST,20856,25:31:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/2/2023 0:40,1/2/2023 1:31,0 days 00:51:00,51.0,0.85
808,13203070,5030,183477407,61C,INBOUND-PITTSBURGH VIA OAKLAND,15:51:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,17:05:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 15:51,1/1/2023 17:05,0 days 01:14:00,74.0,1.233333333
809,3689070,5031,183477407,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,17:05:00,3,FIFTH AVE + WOOD ST,20856,18:07:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 17:05,1/1/2023 18:07,0 days 01:02:00,62.0,1.033333333
810,13552070,5032,183477407,61C,INBOUND-PITTSBURGH VIA OAKLAND,18:32:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,19:37:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 18:32,1/1/2023 19:37,0 days 01:05:00,65.0,1.083333333
811,8512070,5033,183477407,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,19:37:00,3,FIFTH AVE + WOOD ST,20856,20:35:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 19:37,1/1/2023 20:35,0 days 00:58:00,58.0,0.966666667
812,11795070,5034,183477507,61C,INBOUND-PITTSBURGH VIA OAKLAND,21:15:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,22:07:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 21:15,1/1/2023 22:07,0 days 00:52:00,52.0,0.866666667
813,9082070,5035,183477507,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,22:07:00,3,FIFTH AVE + WOOD ST,20856,23:03:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/1/2023 22:07,1/1/2023 23:03,0 days 00:56:00,56.0,0.933333333
814,2442070,5036,183477507,61C,INBOUND-PITTSBURGH VIA OAKLAND,23:18:00,3,MCKEESPORT TRANSPORTATION CENTER AT BAY #4,22899,24:10:00,85,15.56014888,3,FIFTH AVE + WOOD ST,20856,1/1/2023 23:18,1/2/2023 0:10,0 days 00:52:00,52.0,0.866666667
815,3085070,5037,183477507,61C,OUTBOUND-MCKEESPORT HOMESTEAD VIA OAKLAND-SQ HILL-MURRAY AV,24:10:00,3,FIFTH AVE + WOOD ST,20856,25:01:00,81,14.39115414,3,MCKSPT TRANSPORTATION CTR + BAY #2,17791,1/2/2023 0:10,1/2/2023 1:01,0 days 00:51:00,51.0,0.85
828,9603020,10891,183843202,61A,INBOUND-DOWNTOWN VIA OAKLAND,11:26:00,4,BRADDOCK HILLS S C + STOREFRONT,12565,12:33:00,98,14.3126002,4,FIFTH AVE + WOOD ST,20856,1/1/2023 11:26,1/1/2023 12:33,0 days 01:07:00,67.0,1.116666667
829,11338020,10892,183843202,61A,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,12:33:00,4,FIFTH AVE + WOOD ST,20856,13:34:00,90,13.94525706,4,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 12:33,1/1/2023 13:34,0 days 01:01:00,61.0,1.016666667
830,11391020,10893,183843202,61B,INBOUND-DOWNTOWN,13:56:00,4,BRADDOCK HILLS S C + STOREFRONT,12565,15:00:00,74,12.54858513,4,FIFTH AVE + WOOD ST,20856,1/1/2023 13:56,1/1/2023 15:00,0 days 01:04:00,64.0,1.066666667
831,3582020,10894,183843202,61B,OUTBOUND-BRADDOCK-SWISSVALE,15:00:00,4,FIFTH AVE + WOOD ST,20856,15:59:00,70,12.04171897,4,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 15:00,1/1/2023 15:59,0 days 00:59:00,59.0,0.983333333
836,3698020,10909,183843902,61A,INBOUND-DOWNTOWN VIA OAKLAND,11:46:00,4,BRADDOCK HILLS S C + STOREFRONT,12565,12:53:00,98,14.3126002,4,FIFTH AVE + WOOD ST,20856,1/1/2023 11:46,1/1/2023 12:53,0 days 01:07:00,67.0,1.116666667
837,9932020,10910,183843902,61A,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,12:53:00,4,FIFTH AVE + WOOD ST,20856,13:54:00,90,13.94525706,4,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 12:53,1/1/2023 13:54,0 days 01:01:00,61.0,1.016666667
838,323020,10911,183843902,61B,INBOUND-DOWNTOWN,14:11:00,4,BRADDOCK HILLS S C + STOREFRONT,12565,15:15:00,74,12.54858513,4,FIFTH AVE + WOOD ST,20856,1/1/2023 14:11,1/1/2023 15:15,0 days 01:04:00,64.0,1.066666667
839,1383020,10912,183843902,61B,OUTBOUND-BRADDOCK-SWISSVALE,15:15:00,4,FIFTH AVE + WOOD ST,20856,16:14:00,70,12.04171897,4,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 15:15,1/1/2023 16:14,0 days 00:59:00,59.0,0.983333333
844,12599020,10923,183844502,61A,INBOUND-DOWNTOWN VIA OAKLAND,15:59:00,4,BRADDOCK HILLS S C + STOREFRONT,12565,17:07:00,98,14.3126002,4,FIFTH AVE + WOOD ST,20856,1/1/2023 15:59,1/1/2023 17:07,0 days 01:08:00,68.0,1.133333333
845,8976020,10924,183844502,61A,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,17:07:00,4,FIFTH AVE + WOOD ST,20856,18:15:00,90,13.94525706,4,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 17:07,1/1/2023 18:15,0 days 01:08:00,68.0,1.133333333
846,7965020,10925,183844502,61B,INBOUND-DOWNTOWN,18:32:00,4,BRADDOCK HILLS S C + STOREFRONT,12565,19:30:00,74,12.54858513,4,FIFTH AVE + WOOD ST,20856,1/1/2023 18:32,1/1/2023 19:30,0 days 00:58:00,58.0,0.966666667
847,12434020,10926,183844502,61B,OUTBOUND-BRADDOCK-SWISSVALE,19:30:00,4,FIFTH AVE + WOOD ST,20856,20:23:00,70,12.04171897,4,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 19:30,1/1/2023 20:23,0 days 00:53:00,53.0,0.883333333
874,6840020,11133,183852002,61A,INBOUND-DOWNTOWN VIA OAKLAND,18:14:00,4,BRADDOCK HILLS S C + STOREFRONT,12565,19:15:00,98,14.3126002,4,FIFTH AVE + WOOD ST,20856,1/1/2023 18:14,1/1/2023 19:15,0 days 01:01:00,61.0,1.016666667
